Card#,Version,Qty,Needed,Cardback,Discussion,@background,Title,Description,@cake,@vp-icon,vp,Scoring,pattern1,pattern2,pattern3,pattern4,pattern5,pattern6,score,@score1,@score2,@score3,@score4,@score5,num_tiles,tile_file_1,tile_file_2,tile_file_3,tile_file_4,tile_file_5,tile_file_6,@tile1,@tile2,@tile3,@tile4,@tile5,@tile6,@central_tile_1,@central_tile_2,@central_tile_3,@central_tile_4
13,1,1,1,reward,,reward_bg.png,Chocolate-mint truffle,xxx,patisserie_chocolate-mint_truffle.png,vp.png,2,Chocolate,Green,Green,Blue,,,,1,symbol_Chocolate.png,,,,,3,tile_green.png,tile_green.png,tile_blue.png,,,,tile_green.png,tile_green.png,tile_blue.png,,,,,,,
14,1,1,1,reward,,reward_bg.png,Chocolate-hazelnut praliné,xxx,patisserie_chocolate-hazelnut_praliné.png,vp.png,2,Chocolate,Orange,Orange,Orange,,,,1,symbol_Chocolate.png,,,,,3,tile_orange.png,tile_orange.png,tile_orange.png,,,,tile_orange.png,tile_orange.png,tile_orange.png,,,,,,,
15,1,1,1,reward,,reward_bg.png,Black Forest gateau,xxx,patisserie_black_forest_gateau.png,vp.png,2,Chocolate,Pink,Green,Green,Pink,,,2,,,,symbol_Chocolate.png,symbol_Chocolate.png,4,tile_pink.png,tile_green.png,tile_green.png,tile_pink.png,,,tile_pink.png,tile_green.png,tile_green.png,tile_pink.png,,,,,,
16,1,1,1,reward,,reward_bg.png,Sachertorte,xxx,patisserie_sachertorte.png,vp.png,3,Chocolate,Yellow,Orange,Yellow,,Orange,,2,,,,symbol_Chocolate.png,symbol_Chocolate.png,4,tile_yellow.png,tile_orange.png,tile_yellow.png,,tile_orange.png,,tile_yellow.png,tile_orange.png,tile_yellow.png,,tile_orange.png,,,,,
17,1,1,1,reward,,reward_bg.png,Pistachio chocolate religieuse,xxx,patisserie_pistachio_chocolate_religieuse.png,vp.png,2,Chocolate,Pink,Green,Green,Pink,,,2,,,,symbol_Chocolate.png,symbol_Chocolate.png,4,tile_pink.png,tile_green.png,tile_green.png,tile_pink.png,,,tile_pink.png,tile_green.png,tile_green.png,tile_pink.png,,,,,,
18,1,1,1,reward,,reward_bg.png,Chocolate-blueberry tartelette,xxx,patisserie_chocolate-blueberry_tartelette.png,vp.png,4,Chocolate,Yellow,Blue,,Blue,Yellow,,3,symbol_Chocolate.png,symbol_Chocolate.png,symbol_Chocolate.png,,,4,tile_yellow.png,tile_blue.png,,tile_blue.png,tile_yellow.png,,tile_yellow.png,tile_blue.png,,tile_blue.png,tile_yellow.png,,,,,
19,1,1,1,reward,,reward_bg.png,Opéra cake,xxx,patisserie_opéra_cake.png,vp.png,3,Chocolate,Blue,Yellow,Blue,,Yellow,,2,,,,symbol_Chocolate.png,symbol_Chocolate.png,4,tile_blue.png,tile_yellow.png,tile_blue.png,,tile_yellow.png,,tile_blue.png,tile_yellow.png,tile_blue.png,,tile_yellow.png,,,,,
20,1,1,1,reward,,reward_bg.png,Florentine,xxx,patisserie_florentine.png,vp.png,4,Chocolate,Blue,Blue,,Pink,Green,,3,symbol_Chocolate.png,symbol_Chocolate.png,symbol_Chocolate.png,,,4,tile_blue.png,tile_blue.png,,tile_pink.png,tile_green.png,,tile_blue.png,tile_blue.png,,tile_pink.png,tile_green.png,,,,,
21,1,1,1,reward,,reward_bg.png,Crème brûlée,xxx,patisserie_crème_brûlée.png,vp.png,1,Caramel,Yellow,Yellow,,,,,0,,,,,,2,tile_yellow.png,tile_yellow.png,,,,,,,,,,,tile_yellow.png,tile_yellow.png,,
22,1,1,1,reward,,reward_bg.png,Canelé,xxx,patisserie_canelé.png,vp.png,2,Caramel,Orange,Orange,Pink,,,,1,symbol_Caramel.png,,,,,3,tile_orange.png,tile_orange.png,tile_pink.png,,,,tile_orange.png,tile_orange.png,tile_pink.png,,,,,,,
23,1,1,1,reward,,reward_bg.png,Tarte Tatin,xxx,patisserie_tarte_tatin.png,vp.png,2,Caramel,Green,Green,Orange,,,,1,symbol_Caramel.png,,,,,3,tile_green.png,tile_green.png,tile_orange.png,,,,tile_green.png,tile_green.png,tile_orange.png,,,,,,,
24,1,1,1,reward,,reward_bg.png,Crème caramel,xxx,patisserie_crème_caramel.png,vp.png,2,Caramel,Yellow,Yellow,Yellow,,,,1,symbol_Caramel.png,,,,,3,tile_yellow.png,tile_yellow.png,tile_yellow.png,,,,tile_yellow.png,tile_yellow.png,tile_yellow.png,,,,,,,
25,1,1,1,reward,,reward_bg.png,Salted caramel tart,xxx,patisserie_salted_caramel_tart.png,vp.png,2,Caramel,Pink,Orange,Orange,Pink,,,2,,,,symbol_Caramel.png,symbol_Caramel.png,4,tile_pink.png,tile_orange.png,tile_orange.png,tile_pink.png,,,tile_pink.png,tile_orange.png,tile_orange.png,tile_pink.png,,,,,,
26,1,1,1,reward,,reward_bg.png,Sticky toffee pudding,xxx,patisserie_sticky_toffee_pudding.png,vp.png,2,Caramel,Pink,Orange,Orange,Pink,,,2,,,,symbol_Caramel.png,symbol_Caramel.png,4,tile_pink.png,tile_orange.png,tile_orange.png,tile_pink.png,,,tile_pink.png,tile_orange.png,tile_orange.png,tile_pink.png,,,,,,
27,1,1,1,reward,,reward_bg.png,Caramel apple charlotte,xxx,patisserie_caramel_apple_charlotte.png,vp.png,4,Caramel,Green,Blue,,Blue,Green,,3,symbol_Caramel.png,symbol_Caramel.png,symbol_Caramel.png,,,4,tile_green.png,tile_blue.png,,tile_blue.png,tile_green.png,,tile_green.png,tile_blue.png,,tile_blue.png,tile_green.png,,,,,
28,1,1,1,reward,,reward_bg.png,Earl Grey & caramel tart,xxx,patisserie_earl_grey_&_caramel_tart.png,vp.png,2,Caramel,Blue,Green,Blue,,Green,,2,,,,symbol_Caramel.png,symbol_Caramel.png,4,tile_blue.png,tile_green.png,tile_blue.png,,tile_green.png,,tile_blue.png,tile_green.png,tile_blue.png,,tile_green.png,,,,,
29,1,1,1,reward,,reward_bg.png,Paris-Brest (blueberry praliné),xxx,patisserie_paris-brest_(blueberry_praliné).png,vp.png,2,Caramel,Blue,Yellow,Blue,,Yellow,,2,,,,symbol_Caramel.png,symbol_Caramel.png,4,tile_blue.png,tile_yellow.png,tile_blue.png,,tile_yellow.png,,tile_blue.png,tile_yellow.png,tile_blue.png,,tile_yellow.png,,,,,
30,1,1,1,reward,,reward_bg.png,Banoffee pie,xxx,patisserie_banoffee_pie.png,vp.png,4,Caramel,Pink,Pink,,Green,Blue,,3,symbol_Caramel.png,symbol_Caramel.png,symbol_Caramel.png,,,4,tile_pink.png,tile_pink.png,,tile_green.png,tile_blue.png,,tile_pink.png,tile_pink.png,,tile_green.png,tile_blue.png,,,,,
31,1,1,1,reward,,reward_bg.png,Strawberry tartlet,xxx,patisserie_strawberry_tartlet.png,vp.png,1,Strawberry,Pink,Pink,,,,,0,,,,,,2,tile_pink.png,tile_pink.png,,,,,,,,,,,tile_pink.png,tile_pink.png,,
32,1,1,1,reward,,reward_bg.png,Apple turnover,xxx,patisserie_apple_turnover.png,vp.png,2,Strawberry,Green,Green,Orange,,,,1,symbol_Strawberry.png,,,,,3,tile_green.png,tile_green.png,tile_orange.png,,,,tile_green.png,tile_green.png,tile_orange.png,,,,,,,
33,1,1,1,reward,,reward_bg.png,Blueberry mille-feuille,xxx,patisserie_blueberry_mille-feuille.png,vp.png,2,Strawberry,Blue,Blue,Yellow,,,,1,symbol_Strawberry.png,,,,,3,tile_blue.png,tile_blue.png,tile_yellow.png,,,,tile_blue.png,tile_blue.png,tile_yellow.png,,,,,,,
34,1,1,1,reward,,reward_bg.png,Plum tart,xxx,patisserie_plum_tart.png,vp.png,2,Strawberry,Orange,Blue,Blue,Orange,,,2,,,,symbol_Strawberry.png,symbol_Strawberry.png,4,tile_orange.png,tile_blue.png,tile_blue.png,tile_orange.png,,,tile_orange.png,tile_blue.png,tile_blue.png,tile_orange.png,,,,,,
35,1,1,1,reward,,reward_bg.png,Fraisier,xxx,patisserie_fraisier.png,vp.png,2,Strawberry,Pink,Pink,Pink,,,,1,symbol_Strawberry.png,,,,,3,tile_pink.png,tile_pink.png,tile_pink.png,,,,tile_pink.png,tile_pink.png,tile_pink.png,,,,,,,
36,1,1,1,reward,,reward_bg.png,Mixed berry pavlova,xxx,patisserie_mixed_berry_pavlova.png,vp.png,2,Strawberry,Yellow,Blue,Blue,Yellow,,,2,,,,symbol_Strawberry.png,symbol_Strawberry.png,4,tile_yellow.png,tile_blue.png,tile_blue.png,tile_yellow.png,,,tile_yellow.png,tile_blue.png,tile_blue.png,tile_yellow.png,,,,,,
37,1,1,1,reward,,reward_bg.png,Carrot cake,xxx,patisserie_carrot_cake.png,vp.png,4,Strawberry,Orange,Green,,Green,Orange,,3,symbol_Strawberry.png,symbol_Strawberry.png,symbol_Strawberry.png,,,4,tile_orange.png,tile_green.png,,tile_green.png,tile_orange.png,,tile_orange.png,tile_green.png,,tile_green.png,tile_orange.png,,,,,
38,1,1,1,reward,,reward_bg.png,Blackcurrant cheesecake,xxx,patisserie_blackcurrant_cheesecake.png,vp.png,2,Strawberry,Green,Yellow,Green,,Yellow,,2,,,,symbol_Strawberry.png,symbol_Strawberry.png,4,tile_green.png,tile_yellow.png,tile_green.png,,tile_yellow.png,,tile_green.png,tile_yellow.png,tile_green.png,,tile_yellow.png,,,,,
39,1,1,1,reward,,reward_bg.png,Charlotte aux fraises,xxx,patisserie_charlotte_aux_fraises.png,vp.png,2,Strawberry,Yellow,Pink,Yellow,,Pink,,2,,,,symbol_Strawberry.png,symbol_Strawberry.png,4,tile_yellow.png,tile_pink.png,tile_yellow.png,,tile_pink.png,,tile_yellow.png,tile_pink.png,tile_yellow.png,,tile_pink.png,,,,,
40,1,1,1,reward,,reward_bg.png,Autumn fruit crumble,xxx,patisserie_autumn_fruit_crumble.png,vp.png,4,Strawberry,Orange,Orange,,Green,Blue,,3,symbol_Strawberry.png,symbol_Strawberry.png,symbol_Strawberry.png,,,4,tile_orange.png,tile_orange.png,,tile_green.png,tile_blue.png,,tile_orange.png,tile_orange.png,,tile_green.png,tile_blue.png,,,,,
41,1,1,1,reward,,reward_bg.png,Financier,xxx,patisserie_financier.png,vp.png,2,Almond,Yellow,Yellow,Orange,,,,1,symbol_Almond.png,,,,,3,tile_yellow.png,tile_yellow.png,tile_orange.png,,,,tile_yellow.png,tile_yellow.png,tile_orange.png,,,,,,,
42,1,1,1,reward,,reward_bg.png,Pistachio macaron,xxx,patisserie_pistachio_macaron.png,vp.png,2,Almond,Green,Green,Yellow,,,,1,symbol_Almond.png,,,,,3,tile_green.png,tile_green.png,tile_yellow.png,,,,tile_green.png,tile_green.png,tile_yellow.png,,,,,,,
43,1,1,1,reward,,reward_bg.png,Raspberry & pistachio tart,xxx,patisserie_raspberry_&_pistachio_tart.png,vp.png,2,Almond,Green,Blue,Blue,Green,,,2,,,,symbol_Almond.png,symbol_Almond.png,4,tile_green.png,tile_blue.png,tile_blue.png,tile_green.png,,,tile_green.png,tile_blue.png,tile_blue.png,tile_green.png,,,,,,
44,1,1,1,reward,,reward_bg.png,Pistachio & blueberry religieuse,xxx,patisserie_pistachio_&_blueberry_religieuse.png,vp.png,2,Almond,Green,Blue,Blue,Green,,,2,,,,symbol_Almond.png,symbol_Almond.png,4,tile_green.png,tile_blue.png,tile_blue.png,tile_green.png,,,tile_green.png,tile_blue.png,tile_blue.png,tile_green.png,,,,,,
45,1,1,1,reward,,reward_bg.png,Bakewell tart,xxx,patisserie_bakewell_tart.png,vp.png,1,Almond,Pink,Pink,,,,,0,,,,,,2,tile_pink.png,tile_pink.png,,,,,,,,,,,tile_pink.png,tile_pink.png,,
46,1,1,1,reward,,reward_bg.png,Galette des Rois,xxx,patisserie_galette_des_rois.png,vp.png,2,Almond,Green,Green,Green,,,,1,symbol_Almond.png,,,,,3,tile_green.png,tile_green.png,tile_green.png,,,,tile_green.png,tile_green.png,tile_green.png,,,,,,,
47,1,1,1,reward,,reward_bg.png,Mont Blanc,xxx,patisserie_mont_blanc.png,vp.png,2,Almond,Yellow,Pink,Yellow,,Pink,,2,,,,symbol_Almond.png,symbol_Almond.png,4,tile_yellow.png,tile_pink.png,tile_yellow.png,,tile_pink.png,,tile_yellow.png,tile_pink.png,tile_yellow.png,,tile_pink.png,,,,,
48,1,1,1,reward,,reward_bg.png,Blueberry frangipane tart,xxx,patisserie_blueberry_frangipane_tart.png,vp.png,2,Almond,Blue,Orange,Blue,,Orange,,2,,,,symbol_Almond.png,symbol_Almond.png,4,tile_blue.png,tile_orange.png,tile_blue.png,,tile_orange.png,,tile_blue.png,tile_orange.png,tile_blue.png,,tile_orange.png,,,,,
49,1,1,1,reward,,reward_bg.png,Fig & almond tart,xxx,patisserie_fig_&_almond_tart.png,vp.png,4,Almond,Orange,Orange,,Green,Blue,,3,symbol_Almond.png,symbol_Almond.png,symbol_Almond.png,,,4,tile_orange.png,tile_orange.png,,tile_green.png,tile_blue.png,,tile_orange.png,tile_orange.png,,tile_green.png,tile_blue.png,,,,,
50,1,1,1,reward,,reward_bg.png,Battenberg,xxx,patisserie_battenberg.png,vp.png,4,Almond,Pink,Yellow,,Yellow,Pink,,3,symbol_Almond.png,symbol_Almond.png,symbol_Almond.png,,,4,tile_pink.png,tile_yellow.png,,tile_yellow.png,tile_pink.png,,tile_pink.png,tile_yellow.png,,tile_yellow.png,tile_pink.png,,,,,
